Code,District,Votescount_200606,LB_200606,S.O.S._200606,Misia.21_200606,SDL_200606,ZRS_200606,KDH_200606,SLNKO_200606,ANO_200606,HZD_200606,SMK.MKP_200606,SF_200606,OKS_200606,PS_200606,LS.HZDS_200606,ASV_200606,KSS_200606,SLS_200606,SDKU.DS_200606,Smer_200606,SNS_200606,Votescount_201006,EDS_201006,Unia_201006,SRK_201006,PalihoKapurkova_201006,SaS_201006,SDL_201006,SMK.MKP_201006,LS.HZDS_201006,KSS_201006,SNS_201006,ND_201006,ZRS_201006,KDH_201006,LSNS_201006,SDKU.DS_201006,AZEN_201006,Smer_201006,Most_201006,Votescount_201203,Zeleni_201203,KDH_201203,SDL_201203,SNS_201203,OLaNO_201203,SaS_201203,PaS_201203,NAS.KRAJ_201203,SZ_201203,LSNS_201203,Smer_201203,ZZ_201203,NaS...ns_201203,KSS_201203,SPRUS_201203,Most_201203,X99._201203,LS.HZDS_201203,X.1.HLAS_201203,SF_201203,OLaNO_201203.1,SDKU.DS_201203,SOSKA_201203,SMK.MKP_201203,ANO_201203,SZS_201203,Votescount_201603,TIP_201603,SMS_201603,OLaNO_201603,DS...Ludo.Kanik_201603,SANCA_201603,Rodina_201603,SZS_201603,KOALICIA.ZA.SPOLOCNE.SLOVENSKO_201603,MKDA.MKDSZ_201603,VZDOR_201603,Most_201603,SNS_201603,Odvaha...Velka.narodna.a.proruska.koalicia_201603,KSS_201603,SDKU.DS_201603,Smer_201603,KDH_201603,SKOK_201603,LSNS_201603,Siet_201603,SMK.MKP_201603,PD_201603,SaS_201603
SK0317,Namestovo,20048,41,13,16,69,61,4888,38,113,117,21,299,28,17,3044,12,333,20,1918,4892,4032,22765,55,66,6,68,2219,508,4,1048,70,1458,88,88,5689,122,1927,12,9141,196,25604,66,5117,20,1413,2896,667,58,12,39,228,12732,109,151,98,5,148,433,312,2,53,59,652,121,5,184,24,28396,198,62,3043,24,55,1124,77,19,2,41,189,3491,21,103,53,6889,4223,93,2972,4228,2,14,1473
SK0318,Ruzomberok,25739,82,10,27,21,87,4462,34,427,80,84,726,76,24,2268,25,1119,63,3948,7504,4569,28476,53,183,17,181,3439,716,12,975,338,2404,48,97,4614,244,3999,55,10680,421,29576,83,4696,62,2544,2851,1329,128,11,99,440,13411,353,299,276,8,446,521,197,5,82,51,1267,42,10,324,41,30833,149,58,4163,24,52,1805,224,16,4,44,558,3550,26,196,59,8592,3005,196,3324,1686,11,41,3050
SK0319,Turcianske Teplice,8073,38,6,12,9,24,435,41,139,19,33,295,15,14,938,12,636,21,1148,2914,1284,8510,31,65,3,67,1003,308,4,445,157,700,19,43,508,86,1027,10,3935,99,8741,42,572,7,757,630,372,23,4,30,81,4907,76,67,149,1,147,214,126,4,44,17,389,24,6,41,11,8781,118,20,806,6,13,740,76,4,4,11,160,1027,11,88,58,3447,235,64,800,353,5,18,717
SK031A,Tvrdosin,15264,18,7,16,8,38,3612,46,90,28,22,488,18,10,1712,12,375,33,1286,4442,2951,16853,33,65,5,70,2073,380,2,891,58,1783,23,78,4003,137,1385,10,5692,165,18044,32,3367,8,1131,2857,594,39,4,17,219,7750,95,359,65,1,119,242,445,6,44,37,420,47,1,128,17,19468,82,19,2817,12,27,876,85,7,6,17,161,2904,24,67,46,4697,2344,93,2205,1343,2,10,1624
SK031B,Zvolen,30971,81,18,50,42,175,1726,36,612,147,240,1261,114,37,2550,66,1591,43,7089,10455,4527,33622,52,236,66,187,5846,977,24,1636,442,1604,111,160,2110,597,6399,79,12269,827,33688,121,2382,50,1509,4091,2400,137,12,197,671,15721,489,229,435,8,852,602,474,10,142,78,2623,39,18,324,74,34434,205,47,3823,30,97,2681,400,31,7,54,1213,3502,56,347,72,10226,1216,343,2730,2088,18,79,5169
SK0321,Banska Bystrica,51409,104,24,50,53,419,3157,73,1036,162,463,2620,205,103,3714,70,2186,165,14134,15327,7095,56360,92,558,31,315,10283,1549,35,1949,482,2281,237,362,3813,1216,13133,244,18297,1483,55564,140,4395,86,2169,6640,4565,289,23,285,1664,23908,798,386,553,23,1759,879,423,13,256,145,5216,348,31,486,84,58296,756,123,7548,26,400,3577,531,42,9,66,2299,5311,90,347,170,15279,1789,570,5440,3669,32,100,10122
SK0322,Banska Stiavnica,7592,32,3,14,11,51,677,14,166,31,71,358,25,14,793,12,481,27,1106,2453,1197,7998,19,63,22,49,1064,282,7,381,112,450,21,35,722,150,1129,17,3268,207,7757,35,766,13,378,640,348,27,2,29,185,4112,94,50,81,4,178,140,83,4,27,9,449,21,2,58,22,7791,56,25,762,5,18,453,59,5,1,13,281,944,13,78,25,2496,365,142,852,305,7,15,871
SK0323,Brezno,26487,147,19,31,30,132,1589,36,343,149,113,814,80,27,2170,40,1871,54,3884,9723,5018,28426,153,244,256,155,4103,863,12,1021,396,1932,58,142,1779,1027,3758,93,12036,398,28916,79,1934,96,1555,2525,1325,116,21,63,1663,15476,321,233,364,48,334,602,210,3,89,51,1420,92,10,212,74,29539,277,92,2579,27,90,1693,177,13,1,57,734,3178,28,289,58,9863,903,263,4152,1918,12,49,3086
SK0324,Detva,14978,38,9,24,50,121,1099,86,155,62,41,381,36,7,1903,42,814,29,1795,5718,2517,15566,44,112,57,67,1754,458,2,966,152,1056,48,66,1264,300,1502,28,7424,266,16674,37,1308,6,863,1351,656,37,9,43,307,10063,179,111,159,3,146,255,205,3,43,29,693,15,2,127,24,15949,124,31,1257,20,236,961,84,8,3,35,256,2193,21,138,19,6025,764,103,1752,556,1,7,1355
SK0325,Krupina,10046,48,10,9,29,69,1049,17,151,67,93,253,22,8,956,45,508,22,1311,3467,1872,10529,62,92,30,51,1144,401,16,857,138,717,41,50,1073,150,1172,21,4333,181,10603,36,1122,9,775,915,426,42,7,31,191,5625,111,72,146,23,133,222,185,4,32,18,360,14,11,81,12,10865,126,58,996,11,32,645,65,4,4,25,239,1287,10,101,22,3490,636,84,1668,383,25,17,937
SK0326,Lucenec,29734,200,29,25,62,145,753,135,430,223,9236,811,69,30,1957,50,1309,54,3748,7785,2539,30970,191,171,115,123,3469,835,3882,1377,349,1320,54,112,890,453,3828,89,8516,5196,29088,114,1072,40,1034,2130,1102,222,9,114,389,10964,276,98,352,48,4783,885,258,9,48,42,1364,39,3441,208,47,28438,312,131,2755,25,95,1907,200,23,164,37,3568,2244,47,242,47,7403,536,219,1938,1278,3097,52,2118
SK0327,Poltar,10139,46,4,7,47,42,395,56,160,340,57,280,26,15,652,11,917,28,847,4490,1665,10039,72,99,65,58,952,318,12,613,267,761,23,51,429,209,789,22,5136,163,10222,31,414,8,689,716,306,124,3,31,247,6454,93,45,184,11,126,253,91,1,29,5,249,13,5,80,14,9795,122,28,584,12,29,654,60,4,2,13,167,1296,30,156,13,3960,268,53,1338,356,8,17,625
SK0328,Revuca,15990,148,21,21,54,62,367,21,277,151,4230,330,17,18,1253,18,859,41,1374,5061,1516,17533,206,85,109,56,1063,348,1897,2648,138,628,22,39,419,778,1392,120,5371,2214,15737,89,496,16,571,529,444,41,26,31,679,6770,118,104,125,71,1691,353,906,7,28,27,528,18,1841,121,107,14248,221,48,1025,23,19,487,76,23,29,24,1482,850,24,174,39,4313,237,75,1943,659,1673,19,785
SK0329,Rimavska Sobota,34588,275,53,37,132,122,556,50,583,1772,14130,750,60,27,1244,19,1260,44,2527,8016,2828,35178,477,153,706,113,2287,744,6911,1797,317,1443,44,104,555,588,3004,66,8810,7059,32972,154,863,57,1110,916,974,203,35,85,635,11001,332,142,293,91,6456,613,293,10,67,31,1314,28,7008,203,58,31481,506,101,1928,30,56,1219,144,17,108,38,5578,2214,87,223,131,6760,302,217,2726,844,6505,43,1704
SK032A,Velky Krtis,19712,142,36,20,21,104,653,19,185,108,6786,415,19,20,1357,32,820,29,2084,5086,1589,20221,143,227,88,79,1397,543,3578,913,183,770,45,51,529,275,2316,29,5931,3124,18805,110,680,17,857,846,472,121,7,71,210,7368,127,112,142,25,2685,371,238,5,50,25,813,107,3200,127,19,18491,329,55,1218,19,250,730,75,10,105,32,2202,1284,15,102,55,4832,328,207,2054,676,2959,25,929
SK032B,Ziar nad Hronom,21166,65,8,30,15,64,1358,53,345,74,102,798,63,30,2887,28,1211,63,3576,6592,3700,23194,61,195,75,118,3603,750,19,1456,245,1416,51,65,1620,555,3309,99,9140,417,23184,66,1824,35,1395,2369,1287,125,8,82,584,11734,215,224,222,22,397,532,368,5,128,57,1226,50,8,192,29,23214,215,31,2153,16,27,1595,187,10,5,24,1390,2663,14,147,47,7292,918,173,2807,923,3,26,2548
SK032C,Zilina,71911,142,47,45,49,210,6586,149,786,288,213,2785,163,98,7374,82,2618,120,12893,21944,15062,80051,243,490,25,438,11162,1823,16,2765,543,8804,128,141,7473,592,11578,23,32460,1347,84337,178,6984,49,8370,8142,5416,276,21,272,730,43420,857,639,448,13,1277,971,558,19,275,143,4639,51,13,492,84,85804,370,81,10205,46,126,5897,637,34,8,123,1844,10628,91,374,139,25666,3713,919,7478,5463,17,93,11852
SK032D,Zlate Moravce,20488,37,6,31,14,41,2126,152,215,62,216,439,37,9,2592,25,1073,42,2078,7322,3891,21754,52,102,8,102,2035,524,35,1043,353,1621,53,106,2247,491,2042,15,10532,393,22208,51,1995,25,1363,1583,898,100,5,75,769,12905,205,141,213,5,287,315,166,4,88,44,730,16,43,160,22,21722,147,35,1936,9,18,1305,163,8,3,35,421,2610,17,179,26,8616,1262,124,2120,844,44,74,1726
SK0411,Bardejov,29325,289,45,54,22,149,4700,38,279,148,46,904,55,44,2620,52,998,37,4741,11179,2814,31840,317,252,170,192,2906,806,19,1409,264,1076,52,119,5641,427,3647,45,14069,429,33622,149,5246,230,985,3217,1103,175,143,89,451,17243,288,199,161,65,303,597,401,5,181,60,1491,44,9,729,58,33837,333,98,4686,34,59,1785,188,22,10,28,584,3087,85,225,118,11744,3263,257,3285,1679,9,83,2175
SK0412,Humenne,25480,82,51,29,17,241,3605,18,480,250,107,710,35,24,1950,19,890,21,3578,10732,2357,26404,96,201,78,584,1873,914,12,1213,314,1115,29,100,4027,202,3152,80,11964,450,27804,57,3911,267,1035,1530,803,77,397,107,214,15165,215,110,276,135,393,537,338,31,153,31,1244,65,7,659,47,27592,373,121,2717,24,146,1849,155,12,3,89,609,2843,158,275,105,9975,2181,149,2582,1533,3,43,1647
SK0413,Kezmarok,20721,206,36,47,42,67,3661,24,297,198,77,600,35,21,2226,22,708,20,4706,5539,2056,24166,274,219,441,130,2381,593,18,1357,155,828,34,90,4323,1207,3733,36,8037,310,25551,158,4152,58,775,2590,928,106,18,144,1499,10847,270,111,111,102,407,516,386,5,81,66,1503,101,15,557,45,26813,335,113,3202,45,59,1432,150,20,9,24,1000,1837,20,123,81,7788,3139,170,3572,1520,16,35,2123
SK0414,Levoca,11938,73,19,18,9,29,2148,11,197,70,30,329,57,15,1198,17,419,14,2162,3482,1473,13063,72,67,59,73,1081,277,6,690,85,564,22,56,2660,364,1791,8,4928,260,13726,64,2651,32,496,907,460,66,51,36,368,6526,135,52,63,13,123,386,136,1,32,20,766,15,2,307,18,13871,190,30,1667,14,59,927,85,11,4,7,209,1286,13,92,66,4003,1864,75,1228,1097,7,22,915
SK0415,Medzilaborce,5006,39,12,4,13,115,320,2,129,24,9,118,4,3,301,4,502,3,478,2685,230,5281,41,27,11,85,227,156,2,357,123,126,8,100,233,36,397,10,3256,86,5245,16,243,36,141,190,117,20,141,11,35,3587,21,36,118,25,77,94,55,7,14,2,152,20,2,79,6,4955,83,26,287,8,26,217,23,3,1,22,236,469,63,109,17,2338,171,18,287,303,2,12,234
SK0416,Poprad,40312,258,36,46,45,156,4389,66,653,376,252,2098,128,36,3099,38,1739,77,10023,12486,4029,44816,245,291,231,346,7207,1253,32,1556,364,1780,77,110,5132,1123,8841,106,15299,823,46004,175,5310,116,1796,5483,3040,242,63,186,1500,19843,615,291,309,95,925,927,320,5,200,108,3568,79,25,727,56,50042,442,89,6761,45,92,3417,341,38,7,54,1781,4354,65,306,109,12823,3314,475,5158,2963,38,88,7282
SK0417,Presov,66489,423,61,120,72,149,10605,89,1261,414,338,2678,198,77,4693,67,2392,83,15066,19164,8078,72514,450,1242,474,614,9307,1872,41,2415,641,2394,155,129,13039,1076,12463,47,24398,1757,76215,243,12682,154,2441,8651,4132,539,637,279,1177,31737,1044,327,534,119,1446,1446,621,36,239,193,5313,197,38,1887,103,80683,613,162,12267,71,273,5551,578,80,12,124,2963,6459,106,542,178,21383,8157,804,6352,5320,35,143,8510
SK0418,Sabinov,19408,252,35,31,17,149,3141,32,386,156,30,430,21,12,1673,59,632,26,2884,6723,2617,21397,305,137,642,130,1872,564,15,801,150,895,42,111,3698,675,2256,15,8916,173,23089,116,3548,74,759,1484,723,171,127,58,628,12357,172,133,137,60,247,475,173,4,68,29,977,19,2,496,52,23863,242,60,2835,29,80,1309,176,34,4,18,296,2095,48,130,57,8169,2481,137,2354,1827,0,41,1441
SK0419,Skalica,16159,47,10,20,40,37,1951,20,210,70,69,497,12,43,1492,28,843,54,4983,4419,968,19113,57,118,27,61,3232,429,5,795,239,536,641,67,2111,203,4744,7,5588,253,19599,68,2292,20,668,2953,1320,60,2,70,215,7873,342,154,255,12,317,337,104,3,51,74,2047,28,1,248,85,21680,100,36,3440,33,39,1660,150,11,4,16,562,1243,8,210,393,5631,1430,234,1945,1425,4,22,3084
SK041A,Spisska Nova Ves,34031,282,68,58,38,91,3869,31,562,147,124,1307,70,30,2764,34,1464,54,6578,11182,4798,37397,320,242,411,243,4672,932,17,1644,344,1951,46,71,4298,1699,5597,38,14027,845,38844,218,4652,72,1476,3445,1960,166,53,145,1390,18638,420,306,335,27,756,762,505,2,142,81,2232,40,20,902,99,39189,419,88,4428,34,131,2769,268,29,12,62,1426,3662,64,261,142,11656,3255,296,3961,2352,13,48,3813
SK041B,Stara Lubovna,17284,225,21,21,29,49,2545,26,131,533,40,332,29,19,1566,40,691,16,2357,6561,1772,20200,161,105,58,78,1388,376,11,1223,197,698,30,59,2707,846,2220,25,9857,161,21141,116,2901,192,647,1251,569,97,132,41,759,11899,155,83,135,34,161,326,216,4,58,33,893,14,2,388,35,21737,351,61,2534,17,31,901,125,8,1,32,259,1955,32,202,35,8521,2211,138,2202,905,2,9,1205
SK041C,Stropkov,7850,59,9,12,2,19,908,10,58,134,19,208,16,2,810,2,510,6,1185,3212,644,8774,93,53,26,71,730,196,11,422,139,322,17,76,876,91,910,24,4612,105,9092,68,922,36,368,507,372,15,76,30,65,5403,52,70,132,21,63,166,121,2,28,16,354,7,4,172,22,8922,95,95,764,7,30,482,52,13,3,72,139,932,26,98,37,3637,731,56,747,370,0,12,524
SK041D,Vranov nad Toplou,27511,166,28,55,20,114,3213,26,332,133,42,619,54,16,2619,50,1434,27,3046,11719,3561,29816,277,207,296,201,1672,660,9,2175,350,1316,47,103,4120,490,2517,142,14711,523,33110,113,4394,67,1014,1277,752,134,101,103,802,20166,201,270,255,572,250,430,436,20,51,23,983,40,19,606,31,31433,393,93,2857,25,167,1697,137,19,6,57,399,2909,79,354,76,12911,2772,146,3550,1331,8,36,1411
SK0421,Gelnica,11648,108,37,10,93,64,919,20,644,58,46,353,17,28,1176,13,644,18,1454,4372,1403,12171,115,299,91,69,1002,556,13,882,160,638,29,48,1069,497,1332,11,5062,298,12391,82,1229,38,486,599,329,55,38,31,601,6694,97,116,103,89,142,294,301,7,69,15,524,11,2,405,34,12048,231,55,866,13,107,760,113,12,3,9,302,1076,17,108,39,4558,751,64,1351,877,8,8,720
SK0422,Kosice - okolie,41563,310,61,71,35,103,3355,33,726,142,8549,1337,81,60,2630,33,1299,41,6901,11112,3172,49935,408,379,352,309,4720,1438,3539,2467,373,1629,201,108,4180,593,7172,47,14032,7988,48144,230,4580,96,1268,3416,1803,154,302,134,791,18857,1327,181,322,194,5081,1013,670,13,149,98,2321,40,3473,1458,173,50957,734,129,5675,68,118,3605,269,44,113,57,4585,3023,109,318,115,13078,2887,388,4543,3629,3400,55,4015
SK0423,Kosice I,27853,49,127,33,22,42,2455,18,595,184,2423,1656,123,53,1345,26,1073,22,9130,6525,1757,30975,99,292,76,243,5278,837,602,672,227,940,73,39,2803,296,8322,34,7227,2915,31147,97,3167,68,656,3711,2937,136,167,173,359,9379,707,187,218,21,2673,518,156,4,197,58,3519,44,611,1272,112,32082,158,41,4932,20,87,2366,242,24,19,30,2577,1765,107,168,96,5911,1735,403,2047,2673,552,42,6087
SK0424,Kosice II,31230,71,80,40,30,40,2560,14,724,382,1814,2065,101,53,1559,14,1256,25,9247,8484,2451,35080,163,306,247,275,6037,920,391,921,243,1009,99,39,3055,445,8376,50,9686,2818,35036,97,3400,45,758,3963,3027,127,217,192,457,12645,895,247,233,56,2260,544,187,6,226,66,3432,46,416,1403,91,36257,242,43,5506,17,127,2961,283,17,15,53,2325,2040,90,204,64,7975,1806,491,2553,2992,388,52,6013
SK0425,Kosice III,11732,14,21,9,10,23,838,10,333,52,618,696,43,27,581,13,403,18,3230,3740,966,12587,27,132,25,127,2168,369,117,303,99,410,37,31,1022,135,2882,14,3835,854,12782,34,1102,18,305,1474,977,47,87,85,162,4971,361,85,66,1,756,231,97,7,63,30,1107,16,97,531,72,13102,81,8,1888,18,56,1164,112,7,6,17,750,891,27,80,28,3122,601,174,970,1012,128,18,1944
SK0426,Kosice IV,23512,47,40,35,25,29,2161,26,483,90,1828,1266,98,46,1262,11,966,25,6580,6726,1629,25855,65,201,58,189,3678,648,443,646,228,759,68,48,2449,261,6045,28,7731,2310,26253,65,2757,54,754,2828,1833,136,131,109,291,9695,632,151,197,4,1998,433,105,6,108,43,2451,53,449,892,78,27344,191,26,3923,16,73,2259,216,23,18,31,1884,1596,73,156,59,6486,1633,288,1828,2155,406,47,3957
SK0427,Michalovce,39521,351,70,71,25,150,2813,30,437,102,5782,1088,51,23,3196,31,1819,41,4960,14042,3712,40588,367,223,183,221,3034,827,2657,1974,575,1819,46,81,3443,521,4424,185,16588,3420,43447,187,3595,147,1704,2067,1346,170,194,98,532,22547,322,263,481,188,2928,801,570,9,76,33,1685,38,2422,972,72,41653,470,104,3425,45,164,2678,210,27,41,49,2751,3168,75,328,69,15372,2112,371,2919,2157,2278,174,2666
SK0428,Roznava,25151,171,41,20,18,89,332,21,448,102,9503,498,109,18,1398,20,1089,45,2777,6413,1892,28809,257,165,149,135,2183,738,3214,3516,326,1153,34,98,435,820,3162,23,6301,6100,25874,99,593,44,1382,1369,871,75,83,57,679,8002,270,91,293,90,5468,580,987,7,50,33,1020,22,3352,297,60,24202,351,65,1920,26,57,1130,97,19,45,33,4070,2066,25,244,64,5286,270,133,2101,1053,3481,21,1645
SK0429,Snina,13237,81,15,16,32,130,1261,14,178,216,27,362,11,11,1102,10,879,6,1409,6222,1229,14435,69,108,15,159,827,353,0,681,207,595,12,55,1230,106,1246,14,8548,210,15496,31,1338,62,468,586,287,36,428,85,101,10074,97,58,181,21,265,267,163,7,57,14,543,21,2,283,21,14713,320,38,1021,10,37,737,63,13,5,33,274,1843,48,162,27,6889,788,101,919,639,0,16,730
SK042A,Sobrance,9436,113,17,17,13,20,872,5,123,34,17,163,5,6,1522,5,463,11,773,3977,1156,10189,83,54,25,72,463,289,5,1415,115,503,10,44,864,156,733,38,5199,121,10332,41,897,61,481,373,195,63,72,20,121,6754,56,74,73,7,69,161,292,6,12,9,278,14,6,179,18,9862,205,44,567,6,35,513,52,7,NA,17,107,1178,15,85,27,4594,610,45,842,560,1,22,330
SK042B,Trebisov,38884,351,178,79,47,147,2598,39,1051,69,11358,988,50,55,2332,48,1322,33,4943,10283,2507,41688,499,242,213,184,2623,910,6275,2995,313,1059,59,134,2928,426,4258,111,13158,5301,40295,201,3139,104,815,1604,1068,112,116,74,490,17849,337,155,217,49,4901,631,697,4,92,42,1262,33,5404,662,237,39083,703,103,2687,49,171,2072,146,36,277,53,4498,1744,51,217,85,13031,1668,322,2347,1892,4925,52,1954
