party_abb,el_year,result,left-right,cos-par
LS.HZDS,200606,8.8,2,5.23
SDKU.DS,200606,18.4,1,6.07
Smer,200606,29.1,-1,4.79
SMK.MKP,200606,11.7,1,6.36
KDH,200606,8.3,1,3.86
KSS,200606,3.9,-2,2.62
SNS,200606,11.7,2,3.23
SF,200606,3.47,0,5.77
ANO,200606,1.42,2,6
LS.HZDS,201006,4.32,0,5.133333206
SDKU.DS,201006,15.4,1,5.199999809
Smer,201006,34.8,-1,5.866666794
SMK.MKP,201006,4.33,1,5.800000191
KDH,201006,8.5,1,4.533333302
KSS,201006,0.83,2,2.555555582
SNS,201006,5.1,2,3.076923132
SaS,201006,12.1,1,4.533333302
Most,201006,8.1,0,5.866666794
LSNS,201006,1.33,2,1
SDL,201006,2.42,-1,
SDKU.DS,201203,6.1,1,6.357142925
Smer,201203,44.4,-1,6.142857075
SMK.MKP,201203,4.3,1,6.142857075
KDH,201203,8.8,1,5
SNS,201203,4.6,2,2.285714388
SaS,201203,5.9,1,2.857142925
Most,201203,6.9,0,6.428571224
OLaNO,201203,8.6,2,3
X99.,201203,1.58,-2,
LSNS,201203,1.58,2,1
ZZ,201203,1.29,2,4
ANO,201203,1.22,2,1
Smer,201603,28.28,-1,6.7
SaS,201603,12.1,1,2
OLaNO,201603,11.02,2,3
SNS,201603,8.64,2,2
LSNS,201603,8.04,2,1
Rodina,201603,6.62,2,1
Most,201603,6.5,-1,6
Siet,201603,5.6,1,5
KDH,201603,4.94,1,6
SMK.MKP,201603,4.04,1,6